PROJECT KEY,PROJECT NAME,% COVER,LINES TO COV,LINES W/COV,% LINE COVER,COND TO COV,COND W/COV,% COND COV,D. MIGRA BD,H. MIGRA BD
portal-abc-del-seguro-dxp:modules:abc-testimonio-portlet,abc-testimonio-portlet,0,380,380,0,145,145,0,21/11/2023,15:33:38
be-portal-somos-corredores-pga-dxp:modules:admin:admin-super-usuario-portlet,admin-super-usuario-portlet,0,76,76,0,6,6,0,21/11/2023,15:33:28
be-portal-somos-corredores-pga-dxp:modules:admin:admin-user-portlet,admin-user-portlet,0,1539,1539,0,466,466,0,21/11/2023,15:33:28
agendaweb-entrenamiento,agendaweb-entrenamiento,0,2337,2337,0,,,,21/11/2023,15:33:28
area51-frontend,area51-frontend,0,1514,1514,0,,,,21/11/2023,15:33:28
be-ecommerce-autos-corredores-dxp:modules:autos:auto-commons,auto-commons,0,93,93,0,18,18,0,21/11/2023,15:33:28
portal-corporativo-dxp-autorepairshop-searcher-portlet:modules:clinics-autorepairshop-searchers:autorepairshop-searcher-portlet,autorepairshop-searcher-portlet,0,92,92,0,10,10,0,21/11/2023,15:33:38
portal-corporativo-dxp-autorepairshop-searcher-portlet:wars:autorepairshops-admin-portlet,autorepairshops-admin-portlet,0,2207,2207,0,184,184,0,21/11/2023,15:33:39
clientesempresas-frontend,clientesempresas-frontend,0,1317,1317,0,,,,21/11/2023,15:33:28
portal-corporativo-dxp-autorepairshop-searcher-portlet:wars:clinic-admin-portlet,clinic-admin-portlet,0,1724,1724,0,158,158,0,21/11/2023,15:33:39
portal-corporativo-dxp-autorepairshop-searcher-portlet:modules:corporativo-consuming-service,corporativo-consuming-service,0,142,142,0,,,,21/11/2023,15:33:39
portal-corporativo-dxp-autorepairshop-searcher-portlet:modules:corporativo-wave-portlet,corporativo-wave-portlet,33.3,24,16,33.3,,,,21/11/2023,15:33:39
pe.com.pacifico.dip.delorean.travel.biz:delorean-viajes-biz-services,delorean-viajes-biz-services,62.9,1465,451,69.2,506,280,44.7,21/11/2023,15:33:29
delorean-viajes-frontend,delorean-viajes-frontend,0,2296,2296,0,,,,21/11/2023,15:33:29
be-ecommerce-autos-corredores-dxp:modules:autos:ecommerce-auto-emission-portlet,ecommerce-auto-emission-portlet,19.5,243,193,20.6,70,59,15.7,21/11/2023,15:33:28
be-ecommerce-autos-corredores-dxp:modules:autos:ecommerce-auto-quote-portlet,ecommerce-auto-quote-portlet,24.1,243,182,25.1,72,57,20.8,21/11/2023,15:33:28
ecommercesoat-moduleclients,ecommercesoat-moduleclients,79.7,1884,304,83.9,876,255,70.9,21/11/2023,15:33:29
fe-bo-ecomsoat,fe-bo-ecomsoat,83.2,741,90,87.9,257,78,69.6,21/11/2023,15:33:29
fe-boecommerceautos,fe-boecommerceautos,0,1092,1092,0,,,,21/11/2023,15:33:29
fe-boEcommerceVida,fe-boEcommerceVida,0,1914,1914,0,,,,21/11/2023,15:33:29
fe-boecommercevida,fe-boecommercevida,76.1,6495,1565,75.9,394,83,78.9,21/11/2023,15:33:29
fe-ecom-soat-backoffice-temp,fe-ecom-soat-backoffice-temp,0,2131,2131,0,,,,21/11/2023,15:33:29
fe-ecommerce-carretera-digital,fe-ecommerce-carretera-digital,11.3,2625,2387,9.1,160,83,48.1,21/11/2023,15:33:29
fe-ecommerce-multiriesgo-corredores-dxp,fe-ecommerce-multiriesgo-corredores-dxp,27.4,52,35,32.7,10,10,0,21/11/2023,15:33:29
fe-ecommerce-multiriesgo-corredores-dxp-javascript,fe-ecommerce-multiriesgo-corredores-dxp-javascript,76.8,1739,263,84.9,670,296,55.8,21/11/2023,15:33:29
fe-ecommerceAutos,fe-ecommerceAutos,0,3742,3742,0,,,,21/11/2023,15:33:29
fe-ecommerceautos,fe-ecommerceautos,0,3516,3516,0,,,,21/11/2023,15:33:29
fe-ecommercesoat,fe-ecommercesoat,13.4,1966,1789,9,145,40,72.4,21/11/2023,15:33:29
fe-ecommerceVida,fe-ecommerceVida,0,4201,4201,0,,,,21/11/2023,15:33:29
fe-ecommercevida,fe-ecommercevida,0,2815,2815,0,,,,21/11/2023,15:33:29
fe-login-acsel,fe-login-acsel,0,87,87,0,,,,21/11/2023,15:33:29
fe-mep,fe-mep,45.5,19003,9918,47.8,6354,3892,38.7,21/11/2023,15:33:29
fe-portalasesoriadigital-adnvida,fe-portalasesoriadigital-adnvida,0,6771,6771,0,,,,21/11/2023,15:33:29
fe-portalasesoriadigital-agenda,fe-portalasesoriadigital-agenda,0,3251,3251,0,,,,21/11/2023,15:33:29
FE-PortalDesgravamenDigital-PDD,FE-PortalDesgravamenDigital-PDD,0,6198,6198,0,,,,21/11/2023,15:33:28
fe-portaldesgravamendigital-pdd,fe-portaldesgravamendigital-pdd,0,3255,3255,0,,,,21/11/2023,15:33:29
fe-prevencion-protege365-empresas-dxp,fe-prevencion-protege365-empresas-dxp,0,2448,2448,0,,,,21/11/2023,15:33:29
portalempresaprotege365:modules:fe-protege365-empresas-liferay-dxp,fe-protege365-empresas-liferay-dxp,0,764,764,0,156,156,0,21/11/2023,15:33:39
fe-sistemaconciliaciontom,fe-sistemaconciliaciontom,0,5982,5982,0,,,,21/11/2023,15:33:29
fe-solicituddigitalvida,fe-solicituddigitalvida,0,9733,9733,0,,,,21/11/2023,15:33:29
fe-web-reporte-danios,fe-web-reporte-danios,0,295,295,0,,,,21/11/2023,15:33:29
