PROJECT KEY,PROJECT NAME,% DUPLIC,LINE DUPLIC,BLOCK DUPLIC,FILE DUPLIC,D. MIGRA BD,H. MIGRA BD
portal-abc-del-seguro-dxp:modules:abc-testimonio-portlet,abc-testimonio-portlet,5.3,84,2,1,21/11/2023,15:33:38
be-portal-somos-corredores-pga-dxp:modules:admin:admin-super-usuario-portlet,admin-super-usuario-portlet,0,0,0,0,21/11/2023,15:33:28
be-portal-somos-corredores-pga-dxp:modules:admin:admin-user-portlet,admin-user-portlet,0.4,152,6,1,21/11/2023,15:33:28
agendaweb-entrenamiento,agendaweb-entrenamiento,5,408,36,13,21/11/2023,15:33:28
area51-frontend,area51-frontend,11.4,954,59,10,21/11/2023,15:33:28
be-ecommerce-autos-corredores-dxp:modules:autos:auto-commons,auto-commons,0,0,0,0,21/11/2023,15:33:28
portal-corporativo-dxp-autorepairshop-searcher-portlet:modules:clinics-autorepairshop-searchers:autorepairshop-searcher-portlet,autorepairshop-searcher-portlet,0,0,0,0,21/11/2023,15:33:38
portal-corporativo-dxp-autorepairshop-searcher-portlet:wars:autorepairshops-admin-portlet,autorepairshops-admin-portlet,3.3,340,12,9,21/11/2023,15:33:39
clientesempresas-frontend,clientesempresas-frontend,13.3,1094,43,14,21/11/2023,15:33:28
portal-corporativo-dxp-autorepairshop-searcher-portlet:wars:clinic-admin-portlet,clinic-admin-portlet,2.9,244,10,4,21/11/2023,15:33:39
portal-corporativo-dxp-autorepairshop-searcher-portlet:modules:corporativo-consuming-service,corporativo-consuming-service,13.8,78,4,1,21/11/2023,15:33:39
portal-corporativo-dxp-autorepairshop-searcher-portlet:modules:corporativo-wave-portlet,corporativo-wave-portlet,2.9,24,2,1,21/11/2023,15:33:39
pe.com.pacifico.dip.delorean.travel.biz:delorean-viajes-biz-services,delorean-viajes-biz-services,1.1,58,4,1,21/11/2023,15:33:29
delorean-viajes-frontend,delorean-viajes-frontend,0.7,125,6,5,21/11/2023,15:33:29
be-ecommerce-autos-corredores-dxp:modules:autos:ecommerce-auto-emission-portlet,ecommerce-auto-emission-portlet,0.1,40,2,1,21/11/2023,15:33:28
